Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3
51317,ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,LAKE,7079946486,Critical Access Hospitals,Voluntary non-profit - Church,True,True,3,This hospital's star rating only includes data reported on inpatient services.,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"15630 18TH AVE - HWY 53 CLEARLAKE, CA",https://www.adventisthealth.org/clear-lake/,https://www.adventisthealth.org/clear-lake/contact-us/,https://www.adventisthealth.org/clear-lake/about-us/careers/
53302,CHILDREN'S HOSP OF LOS ANGELES,4650 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,3236692164,Childrens,Voluntary non-profit - Private,True,True,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,"4650 SUNSET BLVD LOS ANGELES, CA",https://www.chla.org/,https://www.chla.org/contact-us,https://www.chla.org/locations-and-directions
53306,CHILDREN'S HOSPITAL AT MISSION,"27700 MEDICAL CENTER RD, 5TH FLOOR",MISSION VIEJO,CA,92691,ORANGE,9493652408,Childrens,Voluntary non-profit - Private,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"27700 MEDICAL CENTER RD, 5TH FLOOR MISSION VIEJO, CA",https://www.choc.org/choc-childrens-mission-hospital/,https://www.choc.org/locations/choc-childrens-mission-hospital/,https://www.mission4health.com/our-services/choc-childrens-at-mission/
60128,LONGS PEAK HOSPITAL,1750 E. KEN PRATT BLVD,LONGMONT,CO,80504,WELD,7207183005,Acute Care Hospitals,Voluntary non-profit - Private,True,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,"1750 E. KEN PRATT BLVD LONGMONT, CO",https://www.uchealth.org/locations/uchealth-longs-peak-hospital/,https://www.uchealth.org/locations/uchealth-birth-center-longs-peak-hospital/,https://www.uchealth.org/today/2017/08/31/uchealth-longs-peak-hospital-officially-opens-doors-longmont/
61325,PIONEERS MEDICAL CENTER,100 PIONEERS MEDICAL CENTER DRIVE,MEEKER,CO,81641,RIO BLANCO,9708785047,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"100 PIONEERS MEDICAL CENTER DRIVE MEEKER, CO",https://www.pioneershospital.org/,https://www.pioneershospital.org/directory/,https://www.pioneershospital.org/careers/
70008,JOHNSON MEMORIAL HOSPITAL,201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,CT,6076,TOLLAND,8606844251,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"201 CHESTNUT HILL ROAD STAFFORD SPRINGS, CT",http://www.jmmc.com/stafford,http://www.jmmc.com/careers-1133,http://www.jmmc.com/contact-us-1210
70006,STAMFORD HOSPITAL,ONE HOSPITAL PLAZA,STAMFORD,CT,6904,FAIRFIELD,2032761000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"ONE HOSPITAL PLAZA STAMFORD, CT",https://www.stamfordhealth.org/locations/locations-profile/stamford-hospital/,https://www.medicalrecords.com/hospital/stamford-hospital,https://www.drug-rehab-headquarters.com/connecticut/facility/stamford-hospital-stamford/
70016,SAINT MARY'S HOSPITAL,56 FRANKLIN STEET,WATERBURY,CT,6706,NEW HAVEN,2035746000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"56 FRANKLIN STEET WATERBURY, CT",https://www.stmh.org/body-waterbury.cfm?id=2974&action=detail&ref=52,http://www.stmh.org/waterbury,https://www.ahd.com/free_profile/070016/Saint_Mary%27s_Hospital/Waterbury/Connecticut/
70029,BRISTOL HOSPITAL,BREWSTER RD,BRISTOL,CT,6010,HARTFORD,8605853000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"BREWSTER RD BRISTOL, CT",https://www.bristolhospital.org/,https://www.bristolhospital.org/Locations/Bristol-Hospital.aspx,https://www.bristolhospital.org/locations.aspx
80003,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,WILMINGTON,DE,19805,NEW CASTLE,3024214100,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"7TH AND CLAYTON STS WILMINGTON, DE",https://www.stfrancishealthcare.org/patients-visitors/directions-parking/,https://www.stfrancishealthcare.org/,https://www.stfrancishealthcare.org/contact-us/
100054,TWIN CITIES HOSPITAL,2190 HWY 85 N,NICEVILLE,FL,32578,OKALOOSA,8506784131,Acute Care Hospitals,Proprietary,True,True,4,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,"2190 HWY 85 N NICEVILLE, FL",https://tchospital.com/,https://tchospital.com/careers/,https://tchospital.com/about/phone-directory/
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,40100 US HWY 27 N,DAVENPORT,FL,33837,POLK,8634224971,Acute Care Hospitals,Proprietary,True,True,1,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"40100 US HWY 27 N DAVENPORT, FL",https://www.heartofflorida.com/,https://www.heartofflorida.com/career-opportunities,https://www.heartofflorida.com/contact
100183,CORAL GABLES HOSPITAL,3100 DOUGLAS RD,CORAL GABLES,FL,33134,MIAMI-DADE,3054458461,Acute Care Hospitals,Proprietary,True,True,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"3100 DOUGLAS RD CORAL GABLES, FL",https://www.coralgableshospital.com/,https://www.coralgableshospital.com/contact-us,https://www.coralgableshospital.com/for-health-professionals/careers-at-coral-gables-hospital
100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,6500 NEWBERRY RD,GAINESVILLE,FL,32605,ALACHUA,3523334100,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,"6500 NEWBERRY RD GAINESVILLE, FL",https://nfrmc.com/,https://www.yelp.com/biz/north-florida-regional-medical-center-gainesville-3,https://www.facebook.com/NorthFloridaRegional/
100209,KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,MIAMI,FL,33175,MIAMI-DADE,3052233000,Acute Care Hospitals,Proprietary,True,True,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"11750 BIRD RD MIAMI, FL",https://kendallmed.com/,https://kendallmed.com/about/contact.dot,https://kendallmed.com/careers/search.dot
100244,CAPE CORAL HOSPITAL,636 DEL PRADO BLVD,CAPE CORAL,FL,33990,LEE,2395742323,Acute Care Hospitals,Government - Hospital District or Authority,True,True,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"636 DEL PRADO BLVD CAPE CORAL, FL",http://www.leehealth.org/facilities/cape-coral-hospital.asp,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10025,https://www.ahd.com/free_profile/100244/Cape_Coral_Hospital/Cape_Coral/Florida/
